'Date';'DAX';'S+ACY-P 500'
'2014+AC0-07+AC0-24';9794.05957;1987.97998
'2014+AC0-07+AC0-23';9753.55957;1987.01001
'2014+AC0-07+AC0-22';9734.330078;1983.530029
'2014+AC0-07+AC0-21';9612.049805;1973.630005
'2014+AC0-07+AC0-18';9720.019531;1978.219971
'2014+AC0-07+AC0-17';9753.879883;1958.119995
'2014+AC0-07+AC0-16';9859.269531;1981.569946
'2014+AC0-07+AC0-15';9719.410156;1973.280029
'2014+AC0-07+AC0-14';9783.009766;1977.099976
'2014+AC0-07+AC0-11';9666.339844;1967.569946
'2014+AC0-07+AC0-10';9659.129883;1964.680054
'2014+AC0-07+AC0-09';9808.200195;1972.829956
'2014+AC0-07+AC0-08';9772.669922;1963.709961
'2014+AC0-07+AC0-07';9906.070312;1977.650024
'2014+AC0-07+AC0-03';10029.42969;1985.439941
'2014+AC0-07+AC0-02';9911.269531;1974.619995
'2014+AC0-07+AC0-01';9902.410156;1973.319946
'2014+AC0-06+AC0-30';9833.070312;1960.22998
'2014+AC0-06+AC0-27';9815.169922;1960.959961
'2014+AC0-06+AC0-26';9804.900391;1957.219971
'2014+AC0-06+AC0-25';9867.75;1959.530029
'2014+AC0-06+AC0-24';9938.080078;1949.97998
'2014+AC0-06+AC0-23';9920.919922;1962.609985
'2014+AC0-06+AC0-20';9987.240234;1962.869995
'2014+AC0-06+AC0-19';10004;1959.47998
'2014+AC0-06+AC0-18';9930.330078;1956.97998
'2014+AC0-06+AC0-17';9920.320312;1941.98999
'2014+AC0-06+AC0-16';9883.980469;1937.780029
'2014+AC0-06+AC0-13';9912.870117;1936.160034
'2014+AC0-06+AC0-12';9938.700195;1930.109985
'2014+AC0-06+AC0-11';9949.80957;1943.890015
'2014+AC0-06+AC0-10';10028.79981;1950.790039
'2014+AC0-06+AC0-09';10008.62988;1951.27002
'2014+AC0-06+AC0-06';9987.19043;1949.439941
'2014+AC0-06+AC0-05';9947.830078;1940.459961
'2014+AC0-06+AC0-04';9926.669922;1927.880005
'2014+AC0-06+AC0-03';9919.740234;1924.23999
'2014+AC0-06+AC0-02';9950.120117;1924.969971
'2014+AC0-05+AC0-30';9943.269531;1923.569946
'2014+AC0-05+AC0-29';9938.900391;1920.030029
'2014+AC0-05+AC0-28';9939.169922;1909.780029
'2014+AC0-05+AC0-27';9940.820312;1911.910034
'2014+AC0-05+AC0-26';9892.820312;1900.530029
'2014+AC0-05+AC0-23';9768.009766;1892.48999
'2014+AC0-05+AC0-22';9720.910156;1888.030029
'2014+AC0-05+AC0-21';9697.870117;1872.829956
'2014+AC0-05+AC0-20';9639.080078;1885.079956
'2014+AC0-05+AC0-19';9659.389648;1877.859985
'2014+AC0-05+AC0-16';9629.099609;1870.849976
'2014+AC0-05+AC0-15';9656.049805;1888.530029
'2014+AC0-05+AC0-14';9754.389648;1897.449951
'2014+AC0-05+AC0-13';9754.429688;1896.650024
'2014+AC0-05+AC0-12';9702.459961;1878.47998
'2014+AC0-05+AC0-09';9581.450195;1875.630005
'2014+AC0-05+AC0-08';9607.400391;1878.209961
'2014+AC0-05+AC0-07';9521.299805;1867.719971
'2014+AC0-05+AC0-06';9467.530273;1884.660034
'2014+AC0-05+AC0-05';9529.5;1881.140015
'2014+AC0-05+AC0-02';9556.019531;1883.680054
'2014+AC0-04+AC0-30';9603.230469;1883.949951
'2014+AC0-04+AC0-29';9584.120117;1878.329956
'2014+AC0-04+AC0-28';9446.360352;1869.430054
'2014+AC0-04+AC0-25';9401.549805;1863.400024
'2014+AC0-04+AC0-24';9548.679688;1878.609985
'2014+AC0-04+AC0-23';9544.19043;1875.390015
'2014+AC0-04+AC0-22';9600.089844;1879.550049
'2014+AC0-04+AC0-17';9409.709961;1871.890015
'2014+AC0-04+AC0-16';9317.820312;1864.849976
'2014+AC0-04+AC0-15';9173.709961;1862.310059
'2014+AC0-04+AC0-14';9339.169922;1842.97998
'2014+AC0-04+AC0-11';9315.290039;1830.609985
'2014+AC0-04+AC0-10';9454.540039;1815.689941
'2014+AC0-04+AC0-09';9506.349609;1833.079956
'2014+AC0-04+AC0-08';9490.790039;1872.180054
'2014+AC0-04+AC0-07';9510.849609;1851.959961
'2014+AC0-04+AC0-04';9695.769531;1845.040039
